"text","created"
"RT @bIackgirIs: My dad’s dad died at the age of 49 due to lung cancer. My dad has been very afraid he wouldn’t live past that age but today…","2019-07-28"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-28"
"RT @bIackgirIs: My dad’s dad died at the age of 49 due to lung cancer. My dad has been very afraid he wouldn’t live past that age but today…","2019-07-28"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-28"
"RT @bIackgirIs: My dad’s dad died at the age of 49 due to lung cancer. My dad has been very afraid he wouldn’t live past that age but today…","2019-07-28"
"RT @PopSci: Poor lung cancer screening guidelines miss too many African American smokers https://t.co/5mUInidNDE https://t.co/ccnRlqQ6vT","2019-07-28"
"Poor lung cancer screening guidelines miss too many African American smokers https://t.co/5mUInidNDE https://t.co/ccnRlqQ6vT","2019-07-28"
"World Lung Cancer Day 2018: 10 Common Lung Cancer Myths to Stop Believing #LC #LungCancer #Lung_Cancer… https://t.co/C7HTlSxGWt","2019-07-28"
"RT @Mangan150: Omega-3 fatty acid DHA kills human lung cancer cells, at 60 μM. According to my calculations, that level can be easily achie…","2019-07-28"
"RT @Mangan150: Omega-3 fatty acid DHA kills human lung cancer cells, at 60 μM. According to my calculations, that level can be easily achie…","2019-07-28"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-28"
"RT @IsaiahMcAuley33: My parents went to Disney World for their 23rd wedding anniversary. My dad wasn’t feeling well so they went to the hos…","2019-07-28"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-28"
"RT @bIackgirIs: My dad’s dad died at the age of 49 due to lung cancer. My dad has been very afraid he wouldn’t live past that age but today…","2019-07-28"
"RT @bIackgirIs: My dad’s dad died at the age of 49 due to lung cancer. My dad has been very afraid he wouldn’t live past that age but today…","2019-07-28"
"RT @Mangan150: Omega-3 fatty acid DHA kills human lung cancer cells, at 60 μM. According to my calculations, that level can be easily achie…","2019-07-28"
"Everything was cool until i saw those blacks. Y’all tryna catch lung cancer. https://t.co/Me0kEgpao4","2019-07-28"
"RT @Mangan150: Omega-3 fatty acid DHA kills human lung cancer cells, at 60 μM. According to my calculations, that level can be easily achie…","2019-07-28"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-28"
"RT @bIackgirIs: My dad’s dad died at the age of 49 due to lung cancer. My dad has been very afraid he wouldn’t live past that age but today…","2019-07-28"
"RT @bIackgirIs: My dad’s dad died at the age of 49 due to lung cancer. My dad has been very afraid he wouldn’t live past that age but today…","2019-07-28"
"at this moment, a human is experiencing beating lung cancer with abundant strength.","2019-07-28"
"RT @Mangan150: Omega-3 fatty acid DHA kills human lung cancer cells, at 60 μM. According to my calculations, that level can be easily achie…","2019-07-28"
"@RegulusMessius @RepJuanVargas @RepCummings Idiot?
Oh wait
Talking about yourself?
Worse top 10 states to live,
All… https://t.co/OIJRIQP5Ba","2019-07-28"
"RT @askjillian: A PET scan again for the all clear. August 16!!!!! It will tell if spot on my lung has grown and also tell me if the breast…","2019-07-28"
"RT @future_doktora: People who smoke while walking and not minding the people behind them are just plain rude.

Please stop this.

Not ever…","2019-07-28"
"DNA mutation found to impact patient response to certain lung cancer treatments

https://t.co/8pUu2ZzVOt https://t.co/6pbhh1V1E0","2019-07-28"
"RT @bIackgirIs: My dad’s dad died at the age of 49 due to lung cancer. My dad has been very afraid he wouldn’t live past that age but today…","2019-07-28"
"RT @DouglasEWood1: Lung cancer screening has the biggest impact on creating cancer survivors in a generation. Let’s work together to assure…","2019-07-28"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-28"
"RT @mlazqui: GO2 Foundation for Lung Cancer Honors Solange Peters, MD, PhD with the 2019 Bonnie J. Addario Lectureship Award @peters_solang…","2019-07-28"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-28"
"Ever been so stressed you give yourself lung cancer?! TF wrong with you people","2019-07-28"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-28"
"RT @bIackgirIs: My dad’s dad died at the age of 49 due to lung cancer. My dad has been very afraid he wouldn’t live past that age but today…","2019-07-28"
"@EmilyFravel13 Parents don’t want their kids to smoke as they risk the chances of contracting lung and throat cance… https://t.co/kAAq6Z1UVu","2019-07-28"
"@PCNedStark The more the politicians feed at the public trough for their own unholy gain, the less money the people… https://t.co/8uPI3B90nI","2019-07-28"
"RT @Mangan150: Omega-3 fatty acid DHA kills human lung cancer cells, at 60 μM. According to my calculations, that level can be easily achie…","2019-07-28"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-28"
"RT @askjillian: A PET scan again for the all clear. August 16!!!!! It will tell if spot on my lung has grown and also tell me if the breast…","2019-07-28"
"@Fabrina_R @Niaagz Lung cancer no be joke","2019-07-28"
"RT @Mangan150: Omega-3 fatty acid DHA kills human lung cancer cells, at 60 μM. According to my calculations, that level can be easily achie…","2019-07-28"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-28"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-28"
"I had 3 friends in the fucking world. Jan 2017 Ruby died: congestive heart failure. Sept 2018 Marvin died: lung can… https://t.co/fp3YBaIJWx","2019-07-28"
"Capsaicin, Spicy Compound from Chilli Peppers, Could Help Reduce Lung Cancer #LungCancerAwareness https://t.co/MOuGGPDjc6","2019-07-28"
"@nutrition_facts FDA estimates risks: Taking the 90% Confidence Interval (CI) into account, we are 90% confident th… https://t.co/IN4fHvco8h","2019-07-28"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-28"
"RT @Mangan150: Omega-3 fatty acid DHA kills human lung cancer cells, at 60 μM. According to my calculations, that level can be easily achie…","2019-07-28"
